time, X Target PCS_11_1_PCS(mm), X Actual PCS_11_2_PCS(mm), Y Target PCS_12_1_PCS(mm), Y Actual PCS_12_2_PCS(mm), Z Target PCS_13_1_PCS(mm), Z Actual PCS_13_2_PCS(mm), TCPCmdVel_9_19_, TCPActVel_9_20_
528.092,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.050615
532.017,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.000000
536.010,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.000000
540.029,619.986512,619.986556,0.003244,-0.001763,445.004000,445.080812,0.000000,0.123859
544.073,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.123859
548.083,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.000000
552.037,619.986512,619.986617,0.003244,-0.002057,445.004000,445.080320,0.000000,0.073565
556.010,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.073565
560.008,619.986512,619.986511,0.003244,-0.001763,445.004000,445.080615,0.000000,0.078263
563.999,619.986512,619.986691,0.003244,-0.001763,445.004000,445.080320,0.000000,0.086286
568.052,619.986512,619.986663,0.003244,-0.001763,445.004000,445.080518,0.000000,0.049835
572.003,619.986512,619.986511,0.003244,-0.001763,445.004000,445.080615,0.000000,0.045089
576.029,619.986512,619.986511,0.003244,-0.001763,445.004000,445.080615,0.000000,0.000000
580.022,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.078263
584.000,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.000000
588.041,619.986512,619.986617,0.003244,-0.001690,445.004000,445.080320,0.000000,0.018206
592.009,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.018206
595.995,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.000000
600.005,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.000000
603.982,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.000000
608.042,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.000000
612.004,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.000000
616.028,619.986512,619.986511,0.003244,-0.001763,445.004000,445.080615,0.000000,0.078263
620.010,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.078263
623.997,619.986512,619.986617,0.003244,-0.001690,445.004000,445.080320,0.000000,0.018206
627.996,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.018206
631.996,619.986512,619.986617,0.003244,-0.001690,445.004000,445.080320,0.000000,0.018206
636.052,619.986512,619.986663,0.003244,-0.001763,445.004000,445.080518,0.000000,0.053790
639.999,619.986512,619.986617,0.003244,-0.001690,445.004000,445.080320,0.000000,0.053790
644.039,619.986512,619.986511,0.003244,-0.001763,445.004000,445.080615,0.000000,0.080353
647.998,619.986512,619.986617,0.003244,-0.001690,445.004000,445.080320,0.000000,0.080353
652.005,619.986512,619.986736,0.003244,-0.001763,445.004000,445.080518,0.000000,0.060400
656.056,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.057591
660.010,619.986512,619.986663,0.003244,-0.001763,445.004000,445.080518,0.000000,0.050615
664.013,619.986512,619.986465,0.003244,-0.001763,445.004000,445.080417,0.000000,0.055361
668.045,619.986512,619.986465,0.003244,-0.001763,445.004000,445.080417,0.000000,0.000000
672.021,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.045089
676.054,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.000000
680.008,619.986512,619.986663,0.003244,-0.001763,445.004000,445.080518,0.000000,0.050615
684.019,619.986512,619.986724,0.003244,-0.001763,445.004000,445.080026,0.000000,0.123859
688.004,619.986512,619.986511,0.003244,-0.001763,445.004000,445.080615,0.000000,0.156526
692.035,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.078263
696.064,619.986512,619.986691,0.003244,-0.001763,445.004000,445.080320,0.000000,0.018392
700.050,619.986512,619.986544,0.003244,-0.001763,445.004000,445.080320,0.000000,0.036783
704.016,619.986512,619.986544,0.003244,-0.001763,445.004000,445.080320,0.000000,0.000000
708.005,619.986512,619.986724,0.003244,-0.001763,445.004000,445.080026,0.000000,0.086286
712.010,619.986512,619.986572,0.003244,-0.001763,445.004000,445.080123,0.000000,0.045089
716.051,619.986512,619.986617,0.003244,-0.001690,445.004000,445.080320,0.000000,0.053790
720.013,619.986512,619.986511,0.003244,-0.001763,445.004000,445.080615,0.000000,0.080353
724.015,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.078263
728.002,619.986512,619.986691,0.003244,-0.001763,445.004000,445.080320,0.000000,0.018392
732.007,619.986512,619.986544,0.003244,-0.001690,445.004000,445.080320,0.000000,0.041042
736.038,619.986512,619.986769,0.003244,-0.001763,445.004000,445.080224,0.000000,0.064041
740.003,619.986512,619.986511,0.003244,-0.001763,445.004000,445.080615,0.000000,0.117279
744.013,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.078263
747.995,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.000000
752.008,619.986512,619.986617,0.003244,-0.001690,445.004000,445.080320,0.000000,0.018206
756.047,619.986512,619.986617,0.003244,-0.001690,445.004000,445.080320,0.000000,0.000000
760.021,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.018206
764.015,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.089296
768.014,619.986512,619.986572,0.003244,-0.001763,445.004000,445.080123,0.000000,0.073565
772.038,619.986512,619.986465,0.003244,-0.001763,445.004000,445.080417,0.000000,0.078263
776.048,619.986512,619.986511,0.003244,-0.001763,445.004000,445.080615,0.000000,0.050615
780.002,619.986512,619.986617,0.003244,-0.001690,445.004000,445.080320,0.000000,0.080353
784.015,619.986512,619.986511,0.003244,-0.001763,445.004000,445.080615,0.000000,0.080353
787.997,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.078263
792.045,619.986512,619.986556,0.003244,-0.001763,445.004000,445.080812,0.000000,0.123859
796.052,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.123859
800.002,619.986512,619.986511,0.003244,-0.001763,445.004000,445.080615,0.000000,0.078263
804.015,619.986512,619.986527,0.003244,-0.001763,445.004000,445.079926,0.000000,0.172281
808.024,619.986512,619.986465,0.003244,-0.001763,445.004000,445.080417,0.000000,0.123858
812.063,619.986512,619.986572,0.003244,-0.001690,445.004000,445.080123,0.000000,0.080352
816.079,619.986512,619.986572,0.003244,-0.001763,445.004000,445.080123,0.000000,0.018206
820.010,619.986512,619.986646,0.003244,-0.001763,445.004000,445.080123,0.000000,0.018392
824.038,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.049835
828.020,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.000000
832.058,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.089296
836.039,619.986512,619.986511,0.003244,-0.001763,445.004000,445.080615,0.000000,0.144058
840.022,619.986512,619.986572,0.003244,-0.001763,445.004000,445.080123,0.000000,0.123858
844.094,619.986512,619.986527,0.003244,-0.001763,445.004000,445.079926,0.000000,0.050615
848.022,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.101231
852.092,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.000000
856.013,619.986512,619.986617,0.003244,-0.001690,445.004000,445.080320,0.000000,0.018206
860.015,619.986512,619.986646,0.003244,-0.001690,445.004000,445.080123,0.000000,0.049835
864.058,619.986512,619.986617,0.003244,-0.001690,445.004000,445.080320,0.000000,0.049835
868.025,619.986512,619.986617,0.003244,-0.001396,445.004000,445.080320,0.000000,0.073565
872.108,619.986512,619.986691,0.003244,-0.001468,445.004000,445.080320,0.000000,0.025879
875.993,619.986512,619.986572,0.003244,-0.001690,445.004000,445.080123,0.000000,0.079884
880.005,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.053790
884.042,619.986512,619.986465,0.003244,-0.001763,445.004000,445.080417,0.000000,0.045089
888.019,619.986512,619.986544,0.003244,-0.001396,445.004000,445.080320,0.000000,0.096926
892.005,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.093596
896.001,619.986512,619.986511,0.003244,-0.001763,445.004000,445.080615,0.000000,0.078263
900.007,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.078263
904.048,619.986512,619.986617,0.003244,-0.001690,445.004000,445.080320,0.000000,0.018206
908.000,619.986512,619.986465,0.003244,-0.001468,445.004000,445.080417,0.000000,0.071398
912.032,619.986512,619.986572,0.003244,-0.001690,445.004000,445.080123,0.000000,0.095863
916.004,619.986512,619.986544,0.003244,-0.001396,445.004000,445.080320,0.000000,0.088856
920.007,619.986512,619.986679,0.003244,-0.001763,445.004000,445.079829,0.000000,0.157055
924.073,619.986512,619.986617,0.003244,-0.001468,445.004000,445.080320,0.000000,0.144058
928.015,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.073565
932.011,619.986512,619.986465,0.003244,-0.001468,445.004000,445.080417,0.000000,0.086283
935.998,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.078263
940.026,619.986512,619.986527,0.003244,-0.001468,445.004000,445.079926,0.000000,0.050615
943.998,619.986512,619.986572,0.003244,-0.001763,445.004000,445.080123,0.000000,0.089296
947.982,619.986512,619.986420,0.003244,-0.001468,445.004000,445.080220,0.000000,0.086283
952.071,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.092069
956.012,619.986512,619.986617,0.003244,-0.001396,445.004000,445.080320,0.000000,0.091771
959.999,619.986512,619.986572,0.003244,-0.001396,445.004000,445.080123,0.000000,0.050615
964.006,619.986512,619.986617,0.003244,-0.001468,445.004000,445.080320,0.000000,0.053790
968.008,619.986512,619.986617,0.003244,-0.001763,445.004000,445.080320,0.000000,0.073565
972.050,619.986512,619.986465,0.003244,-0.001468,445.004000,445.080417,0.000000,0.086283
976.016,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.078263
980.000,619.986512,619.986572,0.003244,-0.001763,445.004000,445.080123,0.000000,0.073565
984.058,619.986512,619.986617,0.003244,-0.001468,445.004000,445.080320,0.000000,0.089296
987.993,619.986512,619.986499,0.003244,-0.001763,445.004000,445.080123,0.000000,0.093427
992.078,619.986512,619.986572,0.003244,-0.001690,445.004000,445.080123,0.000000,0.025879
996.014,619.986512,619.986617,0.003244,-0.001396,445.004000,445.080320,0.000000,0.089296
1000.028,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.053790
1004.009,619.986512,619.986572,0.003244,-0.001763,445.004000,445.080123,0.000000,0.073565
1007.999,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.073565
1012.056,619.986512,619.986572,0.003244,-0.001396,445.004000,445.080123,0.000000,0.018206
1016.015,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.018206
1020.017,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.000000
1024.026,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.000000
1028.028,619.986512,619.986511,0.003244,-0.001763,445.004000,445.080615,0.000000,0.144058
1032.046,619.986512,619.986572,0.003244,-0.001763,445.004000,445.080123,0.000000,0.123858
1036.013,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.073565
1040.002,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.000000
1043.989,619.986512,619.986572,0.003244,-0.001690,445.004000,445.080123,0.000000,0.055359
1048.007,619.986512,619.986572,0.003244,-0.001396,445.004000,445.080123,0.000000,0.073565
1052.058,619.986512,619.986679,0.003244,-0.001468,445.004000,445.079829,0.000000,0.080352
1056.013,619.986512,619.986511,0.003244,-0.001396,445.004000,445.080615,0.000000,0.201746
1059.992,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.125189
1064.013,619.986512,619.986511,0.003244,-0.001396,445.004000,445.080615,0.000000,0.125189
1068.010,619.986512,619.986617,0.003244,-0.001468,445.004000,445.080320,0.000000,0.080352
1072.038,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.050615
1076.017,619.986512,619.986617,0.003244,-0.001468,445.004000,445.080320,0.000000,0.050615
1080.009,619.986512,619.986527,0.003244,-0.001763,445.004000,445.079926,0.000000,0.125138
1084.000,619.986512,619.986572,0.003244,-0.001396,445.004000,445.080123,0.000000,0.104804
1088.004,619.986512,619.986527,0.003244,-0.001396,445.004000,445.079926,0.000000,0.050615
1092.032,619.986512,619.986572,0.003244,-0.001396,445.004000,445.080123,0.000000,0.050615
1096.007,619.986512,619.986617,0.003244,-0.001468,445.004000,445.080320,0.000000,0.053790
1100.016,619.986512,619.986465,0.003244,-0.001468,445.004000,445.080417,0.000000,0.045089
1104.003,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.078263
1108.005,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.000000
1112.032,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.000000
1116.012,619.986512,619.986511,0.003244,-0.001468,445.004000,445.080615,0.000000,0.123858
1120.012,619.986512,619.986572,0.003244,-0.001396,445.004000,445.080123,0.000000,0.125189
1124.007,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.018206
1128.023,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.000000
1132.075,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.000000
1136.040,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.000000
1140.036,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.000000
1144.022,619.986512,619.986646,0.003244,-0.001468,445.004000,445.080123,0.000000,0.018392
1148.006,619.986512,619.986572,0.003244,-0.001396,445.004000,445.080123,0.000000,0.025879
1152.032,619.986512,619.986617,0.003244,-0.001468,445.004000,445.080320,0.000000,0.053790
1156.023,619.986512,619.986527,0.003244,-0.001396,445.004000,445.079926,0.000000,0.102855
1160.094,619.986512,619.986617,0.003244,-0.001690,445.004000,445.080320,0.000000,0.125138
1164.047,619.986512,619.986572,0.003244,-0.001396,445.004000,445.080123,0.000000,0.089296
1168.285,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.018206
1172.027,619.986512,619.986527,0.003244,-0.001468,445.004000,445.079926,0.000000,0.050615
1176.025,619.986512,619.986572,0.003244,-0.001396,445.004000,445.080123,0.000000,0.053790
1180.077,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.018206
1184.050,619.986512,619.986465,0.003244,-0.001468,445.004000,445.080417,0.000000,0.078263
1188.017,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.078263
1192.013,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.000000
1196.045,619.986512,619.986465,0.003244,-0.001468,445.004000,445.080417,0.000000,0.078263
1200.078,619.986512,619.986527,0.003244,-0.001396,445.004000,445.079926,0.000000,0.125189
1204.042,619.986512,619.986679,0.003244,-0.001468,445.004000,445.079829,0.000000,0.048626
1208.075,619.986512,619.986617,0.003244,-0.001468,445.004000,445.080320,0.000000,0.123858
1212.019,619.986512,619.986617,0.003244,-0.001396,445.004000,445.080320,0.000000,0.018206
1216.034,619.986512,619.986527,0.003244,-0.001468,445.004000,445.079926,0.000000,0.102855
1220.019,619.986512,619.986527,0.003244,-0.001468,445.004000,445.079926,0.000000,0.000000
1224.064,619.986512,619.986527,0.003244,-0.001468,445.004000,445.079926,0.000000,0.000000
1228.037,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.050615
1232.039,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.000000
1236.036,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.000000
1240.040,619.986512,619.986572,0.003244,-0.001396,445.004000,445.080123,0.000000,0.018206
1244.006,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.018206
1248.016,619.986512,619.986453,0.003244,-0.001468,445.004000,445.079926,0.000000,0.057591
1252.110,619.986512,619.986646,0.003244,-0.001468,445.004000,445.080123,0.000000,0.068907
1256.115,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.018392
1260.026,619.986512,619.986499,0.003244,-0.001396,445.004000,445.080123,0.000000,0.025879
1264.011,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.025879
1268.035,619.986512,619.986572,0.003244,-0.001763,445.004000,445.080123,0.000000,0.073565
1272.010,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.073565
1275.994,619.986512,619.986527,0.003244,-0.001468,445.004000,445.079926,0.000000,0.050615
1280.068,619.986512,619.986527,0.003244,-0.001396,445.004000,445.079926,0.000000,0.018206
1284.003,619.986512,619.986572,0.003244,-0.001174,445.004000,445.080123,0.000000,0.075010
1288.002,619.986512,619.986527,0.003244,-0.001396,445.004000,445.079926,0.000000,0.075010
1292.035,619.986512,619.986527,0.003244,-0.001468,445.004000,445.079926,0.000000,0.018206
1296.006,619.986512,619.986527,0.003244,-0.001396,445.004000,445.079926,0.000000,0.018206
1300.058,619.986512,619.986527,0.003244,-0.001468,445.004000,445.079926,0.000000,0.018206
1304.008,619.986512,619.986572,0.003244,-0.001396,445.004000,445.080123,0.000000,0.053790
1308.052,619.986512,619.986527,0.003244,-0.001396,445.004000,445.079926,0.000000,0.050615
1312.061,619.986512,619.986527,0.003244,-0.001468,445.004000,445.079926,0.000000,0.018206
1316.039,619.986512,619.986527,0.003244,-0.001468,445.004000,445.079926,0.000000,0.000000
1320.150,619.986512,619.986453,0.003244,-0.001468,445.004000,445.079926,0.000000,0.018392
1324.057,619.986512,619.986420,0.003244,-0.001468,445.004000,445.080220,0.000000,0.074036
1328.059,619.986512,619.986527,0.003244,-0.001468,445.004000,445.079926,0.000000,0.078263
1332.055,619.986512,619.986572,0.003244,-0.001396,445.004000,445.080123,0.000000,0.053790
1336.090,619.986512,619.986588,0.003244,-0.001396,445.004000,445.079434,0.000000,0.172281
1340.212,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.173240
1344.044,619.986512,619.986527,0.003244,-0.001396,445.004000,445.079926,0.000000,0.053790
1348.047,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.053790
1352.045,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.000000
1356.051,619.986512,619.986527,0.003244,-0.001468,445.004000,445.079926,0.000000,0.050615
1360.043,619.986512,619.986527,0.003244,-0.001174,445.004000,445.079926,0.000000,0.073565
1364.037,619.986512,619.986600,0.003244,-0.001468,445.004000,445.079926,0.000000,0.075829
1368.117,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.049835
1372.042,619.986512,619.986646,0.003244,-0.001468,445.004000,445.080123,0.000000,0.018392
1376.045,619.986512,619.986527,0.003244,-0.001396,445.004000,445.079926,0.000000,0.060400
1380.039,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.053790
1384.031,619.986512,619.986572,0.003244,-0.001396,445.004000,445.080123,0.000000,0.018206
1388.074,619.986512,619.986572,0.003244,-0.001396,445.004000,445.080123,0.000000,0.000000
1392.051,619.986512,619.986527,0.003244,-0.001396,445.004000,445.079926,0.000000,0.050615
1396.040,619.986512,619.986527,0.003244,-0.001396,445.004000,445.079926,0.000000,0.000000
1400.026,619.986512,619.986527,0.003244,-0.001396,445.004000,445.079926,0.000000,0.000000
1404.041,619.986512,619.986527,0.003244,-0.001468,445.004000,445.079926,0.000000,0.018206
1408.078,619.986512,619.986527,0.003244,-0.001396,445.004000,445.079926,0.000000,0.018206
1412.031,619.986512,619.986600,0.003244,-0.001468,445.004000,445.079926,0.000000,0.025879
1416.035,619.986512,619.986572,0.003244,-0.001468,445.004000,445.080123,0.000000,0.049835
1420.042,619.986512,619.986527,0.003244,-0.001468,445.004000,445.079926,0.000000,0.050615
1424.051,619.986512,619.986453,0.003244,-0.001468,445.004000,445.079926,0.000000,0.018392
1428.105,619.986512,619.986527,0.003244,-0.001101,445.004000,445.079926,0.000000,0.093596
1432.272,619.986512,619.986572,0.003244,-0.001396,445.004000,445.080123,0.000000,0.089296
1436.053,619.986512,619.986527,0.003244,-0.001468,445.004000,445.079926,0.000000,0.053790
1440.063,619.986512,619.986572,0.003244,-0.001396,445.004000,445.080123,0.000000,0.053790
1444.034,619.986512,619.986527,0.003244,-0.001396,445.004000,445.079926,0.000000,0.050615
